07/02/1975,Smithville,Ontario,L0R,,1990 VO1 GILLIGAN
07/02/1975,,,,England,1989 VO3 BOOMER
08/02/1975,Hamilton,Ontario,L8R,,1989 VO1 POLO
09/02/1975,Gravenhurst,Ontario,P0C,,1990 VO3 STRIPE  1989 VO3 BOOMER
11/02/1975,Bolton,Ontario,L0P,,1989 VO3 HOOPS
11/02/1975,Toronto,Ontario,M6G,,1989 VO2 TIGGER
15/02/1975,Watford,Ontario,N0G,,1989 VO1 TIGGER;  1989 VO2 HOOPS
16/02/1975,Carp,Ontario,K0A,,1990 VO1 MAVERICK  1989 VO1 CHOPPER
18/02/1975,,,,Bermuda,1990 VO4 FISH
21/02/1975,,Massachusetts,,United States,1990 VO2 OLERUD  1989 VO2 SQUFF
21/02/1975,Milton,Ontario,L9T,,1989 VO3 BUFF
21/02/1975,Waterdown,Ontario,L0R,,1990 VO3 DRAGTMAN
23/02/1975,Toronto,Ontario,M4N,,1989 VO3 TIGGER
24/02/1975,,Michigan,,United States,1989 VO1 CHESTER
26/02/1975,Downsview,Ontario,M3L,,1989 VO1 HOOPS
26/02/1975,Markham,Ontario,L3P,,1990 VO2 GILLIGAN  1989 RA2 BLAZE
08/03/1975,Hamilton,Ontario,L8T,,1990 VO3 SQUFF  1989 VO3 CHOPPER
08/03/1975,Sharon,Ontario,L0G,,1990 VO1 GUUMBAY  1989 VO1 DIGGER
11/03/1975,Bolton,Ontario,L0P,,1989 VO3 SKINNER
11/03/1975,Niagara Falls,Ontario,L2E,,1990 VO3 STRIPE
11/03/1975,,Quebec,H3R 1X3,,1990 VO3 BINO  1990 VO4 BADGER  1989 VO3 TIGGER
12/03/1975,Prescott,Ontario,K0E,,1990 VO2 DISNEY
15/03/1975,Foxboro,Ontario,K8P,,1990 VO1 GUUMBAY  1989 RA1 BLAZE
18/03/1975,,Manitoba,,,1989 VO3 SQUFF
18/03/1975,Etobicoke,Ontario,M9W,,1989 VO3 SKINNER
19/03/1975,North Gower,Ontario,K0A,,1989 VO1 SQUFF
22/03/1975,Oakville,Ontario,L6J,,1990 VO1 BOOMER  1989 VO3 BUFF
23/03/1975,Kanata,Ontario,K2M,,1989 VO3 TIGGER
27/03/1975,Orangeville,Ontario,L9W,,1990 VO3 DRAGTMAN  1989 VO2 TIGGER
28/03/1975,Kleinburg,Ontario,L0J,,1990 VO2 HOLLYWOOD  1989 VO1 DIGGER
04/04/1975,Scarborough,Ontario,M1V,,1989 VO2 SURF; BUFF
07/04/1975,Hamilton,Ontario,L8T,,1990 VO2 BINO;PEPPER
08/04/1975,Markham,Ontario,L3P,,1989 VO3 BOOMER
10/04/1975,Scarborough,Ontario,M1B,,1989 VO1 CHOPPER
15/04/1975,Burlington,Ontario,L7P,,1990 VO3 OLERUD  1989 VO3 HOOPS
